Striker_Id,Player_Name,Batting_Hand,Bowling_Skill,Country,No_Matches,No_Sixes_IPL,No_Fours_IPL,No.Of_Thirties,No.Of_Fifties,No.Of_Centuries,Batsman_Scored_Power_Play_Per_Match,No_Of_Dot_Balls_Death_Over_Per_Match,No_Of_Dot_Balls_Power_Play_Per_Match,Batsman_Scored_Death_Over_Per_Match,Sixes_Power_Play_Per_Match,Sixes_Death_Over_Per_Match,Fours_Power_Play_Per_Match,Fours_Death_Over_Per_Match,Player_Id
1,SC Ganguly,Left_Hand,Right-arm medium,India,56,42,137,21,7,0,11.5,3.733333333,6.673913043,14.75,1.285714286,2,2.451612903,1.4,1
2,BB McCullum,Right_Hand,Right-arm medium,New Zealand,92,106,248,35,11,2,14.97727273,2.5,6.75,18.08333333,1.735294118,3,2.453125,2,2
4,DJ Hussey,Right_Hand,Right-arm offbreak,Australia,61,60,90,19,5,0,6.380952381,2.771428571,3.555555556,13.67567568,1,2.117647059,1.8,1.6875,4
5,Mohammad Hafeez,Right_Hand,Right-arm offbreak,Pakistan,8,2,7,0,0,0,7,2.666666667,6.5,5.333333333,1,0,1,1,5
6,R Dravid,Right_Hand,Right-arm offbreak,India,82,28,268,32,11,0,14.078125,2.545454545,7.721311475,11.95454545,1.166666667,2,2.94,2.076923077,6
8,V Kohli,Right_Hand,Right-arm medium,India,131,148,360,59,27,4,11.18888889,3.086206897,5.651685393,19.9,1.357142857,1.888888889,2.210526316,2.567567568,8
9,JH Kallis,Right_Hand,Right-arm fast-medium,South Africa,95,44,255,34,17,0,12.63414634,2.741935484,6.9875,15.51612903,1.071428571,1.727272727,2.631578947,2.263157895,9
10,CL White,Right_Hand,Legbreak googly,Australia,45,38,76,15,6,0,5.35,2.523809524,3.3,18.2173913,2,2,1.5,1.857142857,10
11,MV Boucher,Right_Hand,Right-arm medium,South Africa,23,13,32,6,1,0,7.333333333,3.117647059,4.333333333,17.05882353,0,1.333333333,3,2,11
12,B Akhil,Right_Hand,Right-arm medium-fast,India,11,5,5,0,0,0,0,2.5,0,7.111111111,0,1.666666667,0,1.333333333,12
14,P Kumar,Right_Hand,Right-arm medium,India,55,17,22,1,0,0,3,2.782608696,3,5.823529412,0,1.272727273,1,1.428571429,14
15,Z Khan,Right_Hand,Left-arm fast-medium,India,24,2,11,0,0,0,0,2.842105263,3,4.954545455,0,1,0,1.571428571,15
17,PA Patel,Left_Hand,,India,100,27,248,22,8,0,12.90425532,2.222222222,6.703296703,8,1,1,2.76119403,1.8,17
18,ML Hayden,Left_Hand,Right-arm medium,Australia,32,44,121,17,8,0,18.71875,3.6,7.8125,22.2,1.25,1.666666667,3.24,2.2,18
19,MEK Hussey,Left_Hand,Right-arm medium,Australia,58,52,198,28,15,1,15.05454545,2.157894737,7.436363636,17.9,1.454545455,1.727272727,2.441860465,2.818181818,19
20,MS Dhoni,Right_Hand,Right-arm medium,India,128,140,236,45,16,0,3.111111111,3.93,3,21.7184466,0,1.84375,1,2.155844156,20
21,SK Raina,Left_Hand,Right-arm offbreak,India,143,161,360,56,28,1,11.94791667,2.934782609,4.815217391,18.32653061,1.516129032,1.782608696,2.174603175,2.266666667,21
22,JDP Oram,Left_Hand,Right-arm fast-medium,New Zealand,11,5,6,1,0,0,0,3.25,0,8.888888889,0,1.25,0,2.5,22
